"","Race","Region","EDUC","Income"
"1253","Asian/Pacific Islander","Midwest","Bachelors",NA
"1254","White","Northeast","Primary","40,000-59,999"
"1255","Other","South","Bachelors","100,000-149,999"
"1256","White","West","Secondary",NA
"1257","Black","South","Secondary","1-19,999"
"1258","Black","Northeast","Primary","20,000-39,999"
"1259","White","Northeast","Bachelors",NA
"1260","Asian/Pacific Islander","South","Professional","75,000-99,999"
"1261","Black","Midwest","Masters","100,000-149,999"
"1262","Hispanic","South","Secondary","1-19,999"
"1263","Black","South","Secondary","40,000-59,999"
"1264","Black","South","Bachelors","150,000 +"
"1265","White","South","Bachelors","60,000-74,999"
"1266","White","South","Bachelors","75,000-99,999"
"1267","Black","South","Secondary","1-19,999"
"1268","White","South","Secondary","40,000-59,999"
"1269","Black","South","Professional","60,000-74,999"
"1270","White","Midwest","Professional","20,000-39,999"
"1271","Hispanic","South","Primary","1-19,999"
"1272","White","South","Primary",NA
"1273","Black","South","Professional","100,000-149,999"
"1274","White","West","Secondary","40,000-59,999"
"1275","White","Northeast","Bachelors","150,000 +"
"1276","White","Midwest","Masters",NA
"1277","White","South","Primary","40,000-59,999"
"1278","White","Midwest","Professional","1-19,999"
"1279","White","Northeast","Secondary","75,000-99,999"
"1280","White","Midwest","Secondary","60,000-74,999"
"1281","White","Midwest","Bachelors","40,000-59,999"
"1282","Black","West","Secondary","40,000-59,999"
"1283","Other","West","Secondary","40,000-59,999"
"1284","Asian/Pacific Islander","Northeast","Bachelors","1-19,999"
"1285","Hispanic","Midwest","Primary","1-19,999"
"1286","Hispanic","West","Bachelors","20,000-39,999"
"1287","Hispanic","Midwest","Primary","60,000-74,999"
"1288","White","Northeast","Secondary","100,000-149,999"
"1289","Hispanic","West","Secondary","20,000-39,999"
"1290","White","West","Bachelors","60,000-74,999"
"1291","Other","South","Primary","1-19,999"
"1292","Asian/Pacific Islander","West","Secondary","1-19,999"
"1293","Hispanic","Midwest","Secondary","1-19,999"
"1294","White","South","Bachelors","100,000-149,999"
"1295","White","South","Primary","1-19,999"
"1296","White","Midwest","Professional","40,000-59,999"
"1297","Hispanic","Northeast","Secondary","20,000-39,999"
"1298","White","South","Masters","100,000-149,999"
"1299","White","Midwest","Secondary","60,000-74,999"
"1300","White","Midwest","Primary",NA
"1301","Other","South","Secondary","150,000 +"
"1302","White","South","Secondary","40,000-59,999"
"1303","Black","South","Bachelors","1-19,999"
"1304","White","South","Secondary","20,000-39,999"
"1305","Black","South","Secondary","1-19,999"
"1306","White","West","Secondary","60,000-74,999"
"1307","White","Midwest","Bachelors","20,000-39,999"
"1308","White","Midwest","Masters","75,000-99,999"
"1309","Black","Midwest","Primary",NA
"1310","White","South","Secondary","20,000-39,999"
"1311","White","Midwest","Bachelors","40,000-59,999"
"1312","Black","Midwest","Bachelors","1-19,999"
"1313","White","West","Masters","40,000-59,999"
"1314","White","South","Professional","20,000-39,999"
"1315","White","South","Professional","100,000-149,999"
"1316","White","Midwest","Bachelors","100,000-149,999"
"1317","Black","South","Masters","40,000-59,999"
"1318","White","Midwest","Professional","100,000-149,999"
"1319","White","West","Secondary","100,000-149,999"
"1320","Hispanic","West","Secondary","75,000-99,999"
"1321","White","West","Secondary","100,000-149,999"
"1322","White","South","Bachelors",NA
"1323","White","Midwest","Professional","100,000-149,999"
"1324","White","Midwest","Secondary","20,000-39,999"
"1325","Black","South","Primary","20,000-39,999"
"1326","White","Northeast","Bachelors","100,000-149,999"
"1327","White","Northeast","Professional","75,000-99,999"
"1328","White","West","Professional","75,000-99,999"
"1329","Asian/Pacific Islander","Midwest","Secondary","20,000-39,999"
"1330","Black","South","Bachelors","100,000-149,999"
"1331","Hispanic","South","Secondary","1-19,999"
"1332","White","Midwest","Secondary","20,000-39,999"
"1333","White","Midwest","Masters","100,000-149,999"
"1334","Other","South","Primary","1-19,999"
"1335","White","West","Professional","20,000-39,999"
"1336","White","Midwest","Masters","150,000 +"
"1337","Black","South","Secondary","20,000-39,999"
"1338","White","Midwest","Masters","100,000-149,999"
"1339","White","Midwest","Secondary","40,000-59,999"
"1340","White","Midwest","Secondary","20,000-39,999"
"1341","White","South","Masters","150,000 +"
"1342","White","West","Secondary","100,000-149,999"
"1343","White","West","Secondary",NA
"1344","Hispanic","Midwest","Secondary","1-19,999"
"1345","White","South","Secondary","20,000-39,999"
"1346","White","South","Professional","1-19,999"
"1347","White","South","Bachelors","60,000-74,999"
"1348","White","South","Secondary","75,000-99,999"
"1349","White","Midwest","Secondary","40,000-59,999"
"1350","White","South","Secondary","1-19,999"
"1351","Hispanic","West","Secondary","1-19,999"
"1352","Other","South","Primary","60,000-74,999"
"1353",NA,"Northeast","Secondary","150,000 +"
"1354","White","South","Bachelors","100,000-149,999"
"1355","White","South","Professional","20,000-39,999"
"1356","White","South","Professional","100,000-149,999"
"1357","White","South","Masters","75,000-99,999"
"1358","White","Midwest","Masters","150,000 +"
"1359","Hispanic","South","Primary","20,000-39,999"
"1360","White","Midwest","Bachelors","150,000 +"
"1361","Black","South","Professional","1-19,999"
"1362","Hispanic","South","Secondary","20,000-39,999"
"1363","White","Midwest","Bachelors","75,000-99,999"
"1364","Hispanic","Northeast","Secondary",NA
"1365","White","Northeast","Secondary","40,000-59,999"
"1366","White","South","Secondary","40,000-59,999"
"1367","Black","South","Masters","150,000 +"
"1368","White","Midwest","Bachelors","100,000-149,999"
"1369","Black","South","Secondary","1-19,999"
"1370","White","Northeast","Professional","60,000-74,999"
"1371","Hispanic","Northeast","Secondary","100,000-149,999"
"1372","White","Northeast","Masters","20,000-39,999"
"1373","White","Midwest","Masters","150,000 +"
"1374","White","South","Secondary","40,000-59,999"
"1375","White","South","Masters","100,000-149,999"
"1376","White","Midwest","Secondary","75,000-99,999"
"1377","Black","South","Secondary","1-19,999"
"1378","Black","Midwest","Professional","60,000-74,999"
"1379","Hispanic","South","Primary","150,000 +"
"1380","White","Midwest","Secondary",NA
"1381","Black","South","Secondary","1-19,999"
"1382","Black","South","Secondary","1-19,999"
"1383","Other","South","Primary","20,000-39,999"
"1384","White","South","Primary","1-19,999"
"1385","Black","South","Masters","75,000-99,999"
"1386","White","Midwest","Secondary",NA
"1387","White","West","Professional","40,000-59,999"
"1388","White","South","Bachelors","100,000-149,999"
"1389","White","Northeast","Masters","40,000-59,999"
"1390","White","Northeast","Bachelors","60,000-74,999"
"1391","Black","South","Secondary","20,000-39,999"
"1392","White","South","Secondary","1-19,999"
"1393",NA,"Midwest","Secondary","20,000-39,999"
"1394","Hispanic","Midwest","Primary","20,000-39,999"
"1395","White","South","Primary","40,000-59,999"
"1396","White","Northeast","Masters","100,000-149,999"
"1397","White","West","Masters","60,000-74,999"
"1398","White","West","Professional","75,000-99,999"
"1399","White","Midwest","Secondary","60,000-74,999"
"1400","Other","Midwest","Bachelors","150,000 +"
"1401","White","South","Bachelors","100,000-149,999"
"1402","White","South","Professional","60,000-74,999"
"1403","White","Northeast","Secondary","20,000-39,999"
"1404","White","South","Masters","75,000-99,999"
"1405","Black","Northeast","Secondary","1-19,999"
"1406","White","South","Bachelors","150,000 +"
"1407","Hispanic","West","Secondary","100,000-149,999"
"1408","Black","Midwest","Secondary","100,000-149,999"
"1409","White","South","Secondary","40,000-59,999"
"1410","White","West","Professional","100,000-149,999"
"1411","White","Midwest","Professional","75,000-99,999"
"1412","White","Northeast","Bachelors","100,000-149,999"
"1413","White","South","Professional","20,000-39,999"
"1414","Hispanic","South","Secondary","100,000-149,999"
"1415","Black","Midwest","Primary","1-19,999"
"1416","Black","South","Professional","60,000-74,999"
"1417","White","Northeast","Secondary","75,000-99,999"
"1418","White","Midwest","Secondary","1-19,999"
"1419","White","South","Bachelors","40,000-59,999"
"1420","White","Midwest","Masters","60,000-74,999"
"1421","Hispanic","South","Primary","1-19,999"
"1422","White","Midwest","Bachelors","60,000-74,999"
"1423","White","South","Bachelors","150,000 +"
"1424","White","South","Professional","40,000-59,999"
"1425","White","Midwest","Primary","20,000-39,999"
"1426","White","South","Secondary","150,000 +"
"1427","White","Midwest","Bachelors",NA
"1428","White","South","Secondary","20,000-39,999"
"1429","White","South","Bachelors","20,000-39,999"
"1430","Other","Midwest","Professional","150,000 +"
"1431","White","South","Secondary","20,000-39,999"
"1432","Hispanic","Midwest","Secondary","20,000-39,999"
"1433","White","South","Secondary","40,000-59,999"
"1434","White","Midwest","Bachelors","40,000-59,999"
"1435","Hispanic","Midwest","Secondary",NA
"1436","White","Midwest","Primary","20,000-39,999"
"1437","Black","South","Bachelors",NA
"1438","Hispanic","South","Primary","20,000-39,999"
"1439","White","South","Secondary","75,000-99,999"
"1440","White","South","Masters",NA
"1441","White","South","Secondary","40,000-59,999"
"1442","White","South","Secondary",NA
"1443","White","South","Secondary","40,000-59,999"
"1444","White","South","Secondary","60,000-74,999"
"1445","White","Midwest","Secondary","40,000-59,999"
"1446","Asian/Pacific Islander","Midwest","Secondary","100,000-149,999"
"1447","Hispanic","West","Primary",NA
"1448","White","West","Bachelors","100,000-149,999"
"1449","White","West","Secondary","75,000-99,999"
"1450","Hispanic","West","Secondary","60,000-74,999"
"1451","White","South","Bachelors","60,000-74,999"
"1452","White","West","Bachelors","60,000-74,999"
"1453","White","South","Secondary","40,000-59,999"
"1454","Other","Midwest","Primary","1-19,999"
"1455","White","Northeast","Secondary","150,000 +"
"1456","White","West","Professional","150,000 +"
"1457","White","South","Professional","75,000-99,999"
"1458","White","South","Bachelors","75,000-99,999"
"1459","White","Midwest","Professional","75,000-99,999"
"1460","Other","Midwest","Bachelors","40,000-59,999"
"1461","White","West","Secondary","40,000-59,999"
"1462","White","South","Bachelors","40,000-59,999"
"1463","White","South","Primary","1-19,999"
"1464","White","West","Bachelors","75,000-99,999"
"1465","Black","South","Secondary","20,000-39,999"
"1466","Other","Midwest","Secondary","75,000-99,999"
"1467","Other","West","Primary","75,000-99,999"
"1468","White","West","Masters","100,000-149,999"
"1469","White","South","Professional","75,000-99,999"
"1470","Asian/Pacific Islander","South","Secondary","40,000-59,999"
"1471","Black","South","Secondary","1-19,999"
"1472","White","Midwest","Secondary","100,000-149,999"
"1473","White","South","Primary","1-19,999"
"1474","Black","West","Secondary","100,000-149,999"
"1475","Black","Midwest","Secondary","40,000-59,999"
"1476","White","Midwest","Secondary","40,000-59,999"
"1477","Black","Midwest","Secondary",NA
"1478","White","South","Secondary","75,000-99,999"
"1479","White","Midwest","Secondary","60,000-74,999"
"1480","Hispanic","West","Secondary","1-19,999"
"1481","White","Midwest","Primary","20,000-39,999"
"1482","Hispanic","South","Secondary","20,000-39,999"
"1483","Hispanic","South","Secondary","20,000-39,999"
"1484","White","West","Masters","100,000-149,999"
"1485","White","West","Bachelors","75,000-99,999"
"1486","White","Midwest","Primary","100,000-149,999"
"1487","Hispanic","Midwest","Secondary","1-19,999"
"1488","Asian/Pacific Islander","South","Masters","60,000-74,999"
"1489","White","Midwest","Bachelors",NA
"1490","White","West","Bachelors","75,000-99,999"
"1491","White","Midwest","Secondary","40,000-59,999"
"1492","White","West","Secondary","40,000-59,999"
"1493","Hispanic","South","Bachelors","75,000-99,999"
"1494","White","South","Secondary","60,000-74,999"
"1495","White","Midwest","Secondary","60,000-74,999"
"1496","White","Northeast","Secondary","40,000-59,999"
"1497","Hispanic","Midwest","Professional","100,000-149,999"
"1498","White","South","Secondary","40,000-59,999"
"1499","White","Midwest","Secondary","20,000-39,999"
"1500","White","Midwest","Secondary","40,000-59,999"
"1501","White","South","Secondary","60,000-74,999"
"1502","White","Midwest","Bachelors","100,000-149,999"
"1503","Hispanic","Northeast","Primary","1-19,999"
"1504","Black","South","Primary","20,000-39,999"
"1505","Other","South","Secondary","40,000-59,999"
"1506","Hispanic","South","Primary","60,000-74,999"
"1507","White","South","Secondary","75,000-99,999"
"1508","Black","South","Secondary","1-19,999"
"1509","Black","Northeast","Primary","1-19,999"
"1510","Hispanic","West","Secondary",NA
"1511","White","Midwest","Bachelors","75,000-99,999"
"1512","White","South","Secondary","20,000-39,999"
"1513","White","Northeast","Secondary","60,000-74,999"
"1514","White","Midwest","Masters","150,000 +"
"1515","White","South","Secondary","40,000-59,999"
"1516","Asian/Pacific Islander","Midwest","Bachelors",NA
"1517","White","Midwest","Secondary","100,000-149,999"
"1518","White","Midwest","Professional","75,000-99,999"
"1519","Black","Northeast","Secondary","40,000-59,999"
"1520","White","Midwest","Secondary","20,000-39,999"
"1521","White","South","Bachelors",NA
"1522","White","South","Secondary","40,000-59,999"
"1523","White","South","Bachelors","60,000-74,999"
"1524","White","South","Masters","150,000 +"
"1525","Black","Midwest","Secondary","20,000-39,999"
"1526","White","Northeast","Bachelors","100,000-149,999"
"1527","Black","South","Secondary","100,000-149,999"
"1528","White","Midwest","Secondary","40,000-59,999"
"1529","White","South","Secondary","75,000-99,999"
"1530","White","Midwest","Secondary","20,000-39,999"
"1531","White","South","Professional","60,000-74,999"
"1532","White","Midwest","Secondary",NA
"1533","Black","West","Professional","1-19,999"
"1534","Black","South","Secondary",NA
"1535","White","South","Bachelors","150,000 +"
"1536","Asian/Pacific Islander","West","Bachelors","150,000 +"
"1537","White","Midwest","Secondary","20,000-39,999"
"1538","White","West","Secondary","150,000 +"
"1539","White","West","Bachelors","1-19,999"
"1540","White","South","Bachelors","75,000-99,999"
"1541","White","South","Bachelors","40,000-59,999"
"1542","Hispanic","South","Primary","20,000-39,999"
"1543","White","West","Masters","100,000-149,999"
"1544","White","South","Professional","75,000-99,999"
"1545","Hispanic","South","Primary","40,000-59,999"
"1546","Other","South","Secondary","40,000-59,999"
"1547","White","Midwest","Bachelors","20,000-39,999"
"1548","Other","Northeast","Bachelors","20,000-39,999"
"1549","White","South","Professional","40,000-59,999"
"1550","White","Midwest","Secondary","75,000-99,999"
"1551","White","Midwest","Professional","75,000-99,999"
"1552","White","South","Secondary","60,000-74,999"
"1553","Black","Midwest","Secondary",NA
"1554","White","South","Primary","75,000-99,999"
"1555","Hispanic","South","Primary","75,000-99,999"
"1556","White","South","Bachelors","75,000-99,999"
"1557","White","South","Masters","75,000-99,999"
"1558","White","South","Secondary","20,000-39,999"
"1559","Hispanic","Midwest","Secondary","40,000-59,999"
"1560","White","South","Masters",NA
"1561","White","South","Masters","150,000 +"
"1562","White","Midwest","Bachelors","20,000-39,999"
"1563","White","South","Secondary",NA
"1564","White","South","Secondary","20,000-39,999"
"1565","Hispanic","South","Primary","20,000-39,999"
"1566","White","West","Masters","150,000 +"
"1567","Asian/Pacific Islander","West","Bachelors","100,000-149,999"
"1568","White","South","Professional","40,000-59,999"
"1569","White","Midwest","Bachelors","75,000-99,999"
"1570","Hispanic","West","Professional","40,000-59,999"
"1571","White","South","Secondary","100,000-149,999"
"1572","Hispanic","Midwest","Primary",NA
"1573","White","South","Secondary","20,000-39,999"
"1574","White","South","Secondary","75,000-99,999"
"1575","White","South","Masters","40,000-59,999"
"1576","White","South","Bachelors",NA
"1577","Black","Midwest","Professional","40,000-59,999"
"1578","White","Midwest","Professional","60,000-74,999"
"1579","White","Midwest","Primary","20,000-39,999"
"1580","Hispanic","Northeast","Primary",NA
"1581","White","South","Bachelors","60,000-74,999"
"1582","White","South","Bachelors","60,000-74,999"
"1583","White","South","Bachelors","40,000-59,999"
"1584","Black","Midwest","Secondary","1-19,999"
"1585","White","Midwest","Secondary","150,000 +"
"1586","Black","South","Secondary","20,000-39,999"
"1587","Black","South","Professional","20,000-39,999"
"1588","Hispanic","West","Secondary","1-19,999"
"1589","White","Northeast","Bachelors","20,000-39,999"
"1590","Black","Midwest","Bachelors","20,000-39,999"
"1591","White","West","Secondary","40,000-59,999"
"1592","White","Midwest","Primary",NA
"1593","White","Midwest","Secondary","1-19,999"
"1594","Black","South","Professional","20,000-39,999"
"1595","White","Northeast","Professional","100,000-149,999"
"1596","White","South","Professional","40,000-59,999"
"1597","Hispanic","West","Bachelors","40,000-59,999"
"1598","White","Midwest","Secondary","1-19,999"
"1599","White","West","Secondary",NA
"1600","Other","Midwest","Masters","100,000-149,999"
"1601","White","South","Professional","40,000-59,999"
"1602","White","South","Masters","75,000-99,999"
"1603","White","Midwest","Secondary","1-19,999"
"1604","Hispanic","South","Primary","40,000-59,999"
"1605","Asian/Pacific Islander","South","Secondary","20,000-39,999"
"1606","White","Northeast","Masters",NA
"1607","White","Midwest","Secondary","150,000 +"
"1608","Hispanic","Midwest","Secondary",NA
"1609","White","Northeast","Secondary","60,000-74,999"
"1610","Hispanic","Midwest","Secondary","40,000-59,999"
"1611","White","South","Secondary","20,000-39,999"
"1612","White","Midwest","Professional","20,000-39,999"
"1613","White","Midwest","Secondary","40,000-59,999"
"1614","White","West","Bachelors","60,000-74,999"
"1615","Hispanic","South","Secondary","150,000 +"
"1616","White","Midwest","Bachelors","40,000-59,999"
"1617","Black","South","Secondary","20,000-39,999"
"1618","White","West","Secondary","75,000-99,999"
"1619","White","Midwest","Secondary","40,000-59,999"
"1620","White","Northeast","Secondary","20,000-39,999"
"1621","White","South","Bachelors","150,000 +"
"1622","White","Midwest","Secondary","1-19,999"
"1623","Black","Northeast","Bachelors",NA
"1624","White","South","Secondary","150,000 +"
"1625","White","Midwest","Masters","150,000 +"
"1626","White","South","Secondary","40,000-59,999"
"1627","White","South","Masters","40,000-59,999"
"1628","White","Midwest","Secondary","20,000-39,999"
"1629","White","Midwest","Secondary","40,000-59,999"
"1630","White","Midwest","Primary","1-19,999"
"1631","White","Northeast","Primary","150,000 +"
"1632","White","Midwest","Secondary","20,000-39,999"
"1633","White","West","Bachelors","100,000-149,999"
"1634","Hispanic","Midwest","Professional",NA
"1635","White","South","Secondary","100,000-149,999"
"1636","White","Midwest","Secondary","1-19,999"
"1637","Black","Midwest","Secondary","100,000-149,999"
"1638","Hispanic","West","Primary","40,000-59,999"
"1639","White","Northeast","Secondary","75,000-99,999"
"1640","White","South","Bachelors","40,000-59,999"
"1641","Black","South","Professional","40,000-59,999"
"1642","White","Midwest","Secondary","20,000-39,999"
"1643","White","Midwest","Secondary","75,000-99,999"
"1644","White","South","Professional","100,000-149,999"
"1645","White","Midwest","Secondary","75,000-99,999"
"1646","Hispanic","South","Secondary","20,000-39,999"
"1647","White","Midwest","Professional","40,000-59,999"
"1648","White","West","Secondary","40,000-59,999"
"1649","White","Midwest","Professional","150,000 +"
"1650","White","Midwest","Bachelors","150,000 +"
"1651","Other","Midwest","Secondary",NA
"1652","White","Midwest","Bachelors","75,000-99,999"
"1653","White","Midwest","Bachelors",NA
"1654","Black","Midwest","Secondary","1-19,999"
"1655","White","Midwest","Primary",NA
"1656","Other","Midwest","Primary","1-19,999"
"1657","Other","Northeast","Primary","1-19,999"
"1658","White","South","Secondary","20,000-39,999"
"1659","Hispanic","West","Professional","60,000-74,999"
"1660","Black","South","Bachelors","20,000-39,999"
"1661","White","Midwest","Bachelors","1-19,999"
"1662","Hispanic","South","Secondary","100,000-149,999"
"1663","White","Midwest","Bachelors","150,000 +"
"1664","Asian/Pacific Islander","Northeast","Professional","20,000-39,999"
"1665","White","South","Primary",NA
"1666","White","South","Secondary","150,000 +"
"1667","White","South","Secondary","100,000-149,999"
"1668","Hispanic","South","Bachelors","75,000-99,999"
"1669","White","Midwest","Professional","20,000-39,999"
"1670","White","Northeast","Secondary","20,000-39,999"
"1671","Hispanic","South","Primary","20,000-39,999"
"1672","White","South","Secondary","75,000-99,999"
"1673","White","South","Secondary","40,000-59,999"
"1674","White","Midwest","Secondary","60,000-74,999"
"1675","White","South","Secondary",NA
"1676","White","South","Secondary","60,000-74,999"
"1677","White","West","Masters","60,000-74,999"
"1678","White","South","Bachelors","150,000 +"
"1679","White","West","Bachelors","75,000-99,999"
"1680","White","Midwest","Secondary","60,000-74,999"
"1681","Asian/Pacific Islander","Midwest","Bachelors","75,000-99,999"
"1682","White","South","Secondary","20,000-39,999"
"1683","Black","South","Masters","60,000-74,999"
"1684","White","West","Secondary","60,000-74,999"
"1685","White","South","Masters","150,000 +"
"1686","Black","South","Primary","1-19,999"
"1687","Black","South","Secondary",NA
"1688","White","West","Secondary","1-19,999"
"1689","Black","South","Professional","100,000-149,999"
"1690","White","Midwest","Secondary","20,000-39,999"
"1691","Hispanic","South","Secondary",NA
"1692","White","South","Secondary","20,000-39,999"
"1693","White","Midwest","Professional","60,000-74,999"
"1694","Asian/Pacific Islander","Midwest","Secondary","60,000-74,999"
"1695","Black","South","Secondary","75,000-99,999"
"1696","White","Midwest","Secondary","40,000-59,999"
"1697","White","South","Bachelors","1-19,999"
"1698","White","Northeast","Bachelors","60,000-74,999"
"1699","White","Midwest","Secondary","40,000-59,999"
"1700","White","Midwest","Bachelors","150,000 +"
"1701","Other","Midwest","Primary","100,000-149,999"
"1702","White","Midwest","Bachelors","40,000-59,999"
"1703","Black","South","Secondary","40,000-59,999"
"1704","Asian/Pacific Islander","West","Secondary","40,000-59,999"
"1705","White","South","Secondary","40,000-59,999"
"1706","White","West","Professional","100,000-149,999"
"1707","White","South","Secondary","20,000-39,999"
"1708","Hispanic","Midwest","Secondary","75,000-99,999"
"1709","White","West","Bachelors","150,000 +"
"1710","White","South","Professional","40,000-59,999"
"1711","White","Midwest","Bachelors","1-19,999"
"1712","Black","South","Secondary",NA
"1713","White","South","Professional","75,000-99,999"
"1714","White","Midwest","Bachelors","20,000-39,999"
"1715","White","Midwest","Professional","60,000-74,999"
"1716","White","West","Professional","150,000 +"
"1717","Other","Midwest","Bachelors","40,000-59,999"
"1718","White","Northeast","Masters","40,000-59,999"
"1719","White","South","Secondary","1-19,999"
"1720","White","Midwest","Secondary","60,000-74,999"
"1721","Black","South","Secondary","1-19,999"
"1722","White","West","Primary",NA
"1723","Hispanic","Midwest","Professional","75,000-99,999"
"1724","Black","South","Professional","1-19,999"
"1725","White","West","Bachelors","60,000-74,999"
"1726","Black","South","Professional","75,000-99,999"
"1727","Black","South","Secondary","40,000-59,999"
"1728","Hispanic","South","Primary","20,000-39,999"
"1729","White","West","Secondary","100,000-149,999"
"1730","White","Midwest","Bachelors","40,000-59,999"
"1731","White","Midwest","Bachelors","100,000-149,999"
"1732","White","South","Secondary","60,000-74,999"
"1733","Hispanic","West","Primary","1-19,999"
"1734","Hispanic","West","Secondary","40,000-59,999"
"1735","White","Midwest","Bachelors","75,000-99,999"
"1736","White","Midwest","Masters","150,000 +"
"1737","Asian/Pacific Islander","West","Professional","20,000-39,999"
"1738","White","Midwest","Secondary","60,000-74,999"
"1739","Black","South","Primary","1-19,999"
"1740","Hispanic","Midwest","Secondary","60,000-74,999"
"1741","White","South","Professional","60,000-74,999"
"1742","White","South","Bachelors","75,000-99,999"
"1743","Hispanic","South","Secondary",NA
"1744","White","Midwest","Primary","20,000-39,999"
"1745","White","Midwest","Masters","150,000 +"
"1746","White","Midwest","Bachelors","100,000-149,999"
"1747","White","Northeast","Bachelors","60,000-74,999"
"1748","White","South","Secondary","20,000-39,999"
"1749","Other","Midwest","Primary",NA
"1750","Hispanic","Midwest","Primary","60,000-74,999"
"1751","White","Midwest","Secondary",NA
"1752","Hispanic","West","Primary","20,000-39,999"
"1753","White","Midwest","Secondary","20,000-39,999"
"1754","White","West","Bachelors",NA
"1755","Black","South","Secondary",NA
"1756","Black","Midwest","Secondary","20,000-39,999"
"1757","White","South","Secondary","60,000-74,999"
"1758","White","South","Bachelors","150,000 +"
"1759","Hispanic","Northeast","Masters","100,000-149,999"
"1760","Black","South","Secondary","75,000-99,999"
"1761","White","West","Bachelors","20,000-39,999"
"1762","Hispanic","Northeast","Masters","75,000-99,999"
"1763","White","South","Masters","75,000-99,999"
"1764","White","Northeast","Secondary","1-19,999"
"1765","White","West","Professional","150,000 +"
"1766","Black","Midwest","Secondary","20,000-39,999"
"1767","Hispanic","West","Primary","40,000-59,999"
"1768","White","Midwest","Masters","75,000-99,999"
"1769","White","Midwest","Bachelors","100,000-149,999"
"1770","White","Midwest","Primary","60,000-74,999"
"1771","White","Midwest","Secondary","40,000-59,999"
"1772","White","South","Secondary","60,000-74,999"
"1773","White","West","Secondary","60,000-74,999"
"1774","Hispanic","Northeast","Bachelors","40,000-59,999"
"1775","White","South","Bachelors","100,000-149,999"
"1776","White","South","Bachelors",NA
"1777","White","Midwest","Bachelors",NA
"1778","White","Midwest","Secondary","1-19,999"
"1779","Black","South","Secondary",NA
"1780","Asian/Pacific Islander","Northeast","Secondary","40,000-59,999"
"1781","White","South","Secondary",NA
"1782","White","West","Secondary","20,000-39,999"
"1783","White","Northeast","Secondary",NA
"1784","Hispanic","West","Secondary","20,000-39,999"
"1785","Other","South","Secondary","100,000-149,999"
"1786","Black","South","Masters","150,000 +"
"1787","White","Midwest","Secondary","20,000-39,999"
"1788","White","South","Bachelors","150,000 +"
"1789","Hispanic","South","Primary","1-19,999"
"1790","White","Northeast","Secondary","100,000-149,999"
"1791","Hispanic","Midwest","Secondary",NA
"1792","Black","South","Primary","1-19,999"
"1793","White","South","Bachelors","1-19,999"
"1794","White","Northeast","Masters","60,000-74,999"
"1795","White","Midwest","Secondary","1-19,999"
"1796","White","Midwest","Secondary","40,000-59,999"
"1797","White","Midwest","Bachelors","20,000-39,999"
"1798","Black","South","Masters","1-19,999"
"1799","White","South","Masters","100,000-149,999"
"1800","Black","Midwest","Secondary","20,000-39,999"
"1801","Hispanic","West","Primary","20,000-39,999"
"1802","Asian/Pacific Islander","South","Masters","150,000 +"
"1803","Asian/Pacific Islander","Midwest","Primary","1-19,999"
"1804","White","South","Secondary","1-19,999"
"1805","White","West","Professional","150,000 +"
"1806","White","South","Secondary","40,000-59,999"
"1807","White","Midwest","Secondary","75,000-99,999"
"1808","Black","Northeast","Masters","100,000-149,999"
"1809","White","Northeast","Bachelors","75,000-99,999"
"1810","White","Northeast","Secondary","40,000-59,999"
"1811","Asian/Pacific Islander","Midwest","Masters","150,000 +"
"1812","White","Northeast","Professional","20,000-39,999"
"1813","Black","West","Primary","60,000-74,999"
"1814","White","Midwest","Bachelors","100,000-149,999"
"1815","White","South","Secondary","1-19,999"
"1816","Hispanic","Northeast","Secondary","20,000-39,999"
"1817","Hispanic","South","Secondary","1-19,999"
"1818","White","Midwest","Professional","100,000-149,999"
"1819","White","West","Masters","40,000-59,999"
"1820","White","South","Professional","40,000-59,999"
"1821","White","Northeast","Secondary","20,000-39,999"
"1822","Hispanic","South","Professional","40,000-59,999"
"1823","Hispanic","Northeast","Secondary","20,000-39,999"
"1824","White","Northeast","Masters","100,000-149,999"
"1825","White","Northeast","Secondary","100,000-149,999"
"1826","White","West","Professional","60,000-74,999"
"1827","Hispanic","South","Primary","1-19,999"
"1828","Black","South","Primary","1-19,999"
"1829","White","Midwest","Primary",NA
"1830","Black","Midwest","Secondary","20,000-39,999"
"1831","White","South","Professional","75,000-99,999"
"1832","Black","South","Secondary","1-19,999"
"1833","White","South","Secondary","150,000 +"
"1834","Black","South","Professional",NA
"1835","White","West","Secondary","60,000-74,999"
"1836","White","Midwest","Bachelors","75,000-99,999"
"1837","Black","West","Secondary",NA
"1838","White","West","Secondary","40,000-59,999"
"1839","Black","South","Secondary","1-19,999"
"1840","Hispanic","Northeast","Primary","40,000-59,999"
"1841","White","Midwest","Secondary","40,000-59,999"
"1842","Black","South","Secondary","150,000 +"
"1843","Black","South","Masters","40,000-59,999"
"1844","White","Northeast","Secondary","60,000-74,999"
"1845","White","West","Bachelors","100,000-149,999"
"1846","Other","South","Secondary","60,000-74,999"
"1847","White","South","Primary","1-19,999"
"1848","White","Midwest","Masters","60,000-74,999"
"1849","White","South","Professional","100,000-149,999"
"1850","White","Midwest","Secondary","20,000-39,999"
"1851","White","West","Masters","100,000-149,999"
"1852","White","South","Secondary","20,000-39,999"
"1853","Hispanic","South","Bachelors","100,000-149,999"
"1854","White","West","Masters","100,000-149,999"
