"","Race","Region","EDUC","Income","Gender","Income_cont"
"1760","White","South","Secondary","40,000- 49,999","Male",45000
"1761","White","Midwest","Secondary","60,000-74,999","Female",67500
"1762","White","South","Secondary",NA,"Male",NA
"1763","White","South","Secondary","60,000-74,999","Female",67500
"1764","White","West","Masters","60,000-74,999","Male",67500
"1765","White","South","Bachelors","150,000 +","Female",2e+05
"1766","White","West","Bachelors","75,000-99,999","Female",87500
"1767",NA,"Midwest",NA,NA,NA,NA
"1768","White","Midwest","Secondary","60,000-74,999","Male",67500
"1769","Asian/Pacific Islander","Midwest","Bachelors","75,000-99,999","Male",87500
"1770","White","South","Associates","20,000- 29,999","Female",25000
"1771","Black","South","Masters","60,000-74,999","Female",67500
"1772","White","West","Secondary","60,000-74,999","Male",67500
"1773","White","South","Masters","150,000 +","Female",2e+05
"1774","Black","South","Primary","1-9,999","Male",5000
"1775","Black","South","Secondary",NA,"Female",NA
"1776","White","West","Secondary","1-9,999","Female",5000
"1777","Black","South","Associates","100,000-149,999","Female",125000
"1778","White","Midwest","Secondary","30,000-39,999","Male",35000
"1779","Hispanic","South","Secondary",NA,"Male",NA
"1780","White","South","Associates","20,000- 29,999","Female",25000
"1781","White","Midwest","Associates","60,000-74,999","Female",67500
"1782","Asian/Pacific Islander","Midwest","Secondary","60,000-74,999","Female",67500
"1783","Black","South","Associates","75,000-99,999","Female",87500
"1784","White","Midwest","Associates","40,000- 49,999","Female",45000
"1785","White","South","Bachelors","1-9,999","Male",5000
"1786","White","Northeast","Bachelors","60,000-74,999","Female",67500
"1787","White","Midwest","Secondary","40,000-59,999","Male",55000
"1788","White","Midwest","Bachelors","150,000 +","Male",2e+05
"1789","Other","Midwest","Primary","100,000-149,999","Female",125000
"1790","White","Midwest","Bachelors","40,000-59,999","Female",55000
"1791","Black","South","Secondary","40,000-59,999","Female",55000
"1792","Asian/Pacific Islander","West","Associates","40,000- 49,999","Female",45000
"1793","White","South","Secondary","40,000-59,999","Male",55000
"1794","White","West","Associates","100,000-149,999","Female",125000
"1795","White","South","Secondary","20,000- 29,999","Female",25000
"1796","Hispanic","Midwest","Secondary","75,000-99,999","Female",87500
"1797","White","West","Bachelors","150,000 +","Male",2e+05
"1798","White","South","Associates","40,000- 49,999","Female",45000
"1799","White","Midwest","Bachelors","10,000-19,999","Male",10000
"1800","Black","South","Secondary",NA,"Female",NA
"1801","White","South","Associates","75,000-99,999","Male",87500
"1802","White","Midwest","Bachelors","30,000-39,999","Male",35000
"1803","White","Midwest","Associates","60,000-74,999","Female",67500
"1804","White","West","PhD","150,000 +","Female",2e+05
"1805","Other","Midwest","Bachelors","40,000-59,999","Female",55000
"1806","White","Northeast","Masters","40,000- 49,999","Female",45000
"1807","White","South","Secondary","1-9,999","Male",5000
"1808","White","Midwest","Associates","60,000-74,999","Male",67500
"1809","Black","South","Secondary","10,000-19,999","Female",10000
"1810","White","West","Primary",NA,"Male",NA
"1811","Hispanic","Midwest","Associates","75,000-99,999","Female",87500
"1812","Black","South","Associates","10,000-19,999","Male",10000
"1813",NA,"South",NA,NA,NA,NA
"1814","White","West","Bachelors","60,000-74,999","Female",67500
"1815","Black","South","Associates","75,000-99,999","Male",87500
"1816","Black","South","Secondary","40,000- 49,999","Female",45000
"1817","Hispanic","South","Primary","20,000- 29,999","Male",25000
"1818","White","West","Secondary","100,000-149,999","Male",125000
"1819","White","Midwest","Bachelors","40,000- 49,999","Female",45000
"1820","White","Midwest","Bachelors","100,000-149,999","Female",125000
"1821","White","South","Secondary","60,000-74,999","Male",67500
"1822","Hispanic","West","Primary","1-9,999","Female",5000
"1823","Hispanic","West","Secondary","40,000- 49,999","Male",45000
"1824","White","Midwest","Bachelors","75,000-99,999","Male",87500
"1825","White","Midwest","Masters","150,000 +","Female",2e+05
"1826","Asian/Pacific Islander","West","Associates","30,000-39,999","Female",35000
"1827","White","Midwest","Associates","60,000-74,999","Female",67500
"1828","Black","South","Primary","1-9,999","Female",5000
"1829","Hispanic","Midwest","Associates","60,000-74,999","Female",67500
"1830","White","South","Associates","60,000-74,999","Female",67500
"1831","White","South","Bachelors","75,000-99,999","Male",87500
"1832","Hispanic","South","Secondary",NA,"Female",NA
"1833","White","Midwest","Primary","20,000- 29,999","Male",25000
"1834","White","Midwest","Masters","150,000 +","Female",2e+05
"1835","White","Midwest","Bachelors","100,000-149,999","Male",125000
"1836","White","Northeast","Bachelors","60,000-74,999","Male",67500
"1837","White","South","Secondary","30,000-39,999","Male",35000
"1838","Other","Midwest","Primary",NA,"Male",NA
"1839","Hispanic","Midwest","Primary","60,000-74,999","Male",67500
"1840","White","Midwest","Secondary",NA,"Female",NA
"1841","Hispanic","West","Primary","30,000-39,999","Female",35000
"1842","White","Midwest","Secondary","30,000-39,999","Female",35000
"1843","White","West","Bachelors",NA,"Female",NA
"1844","Black","South","Secondary",NA,"Male",NA
"1845","Black","Midwest","Secondary","30,000-39,999","Male",35000
"1846","White","South","Secondary","60,000-74,999","Female",67500
"1847","White","South","Bachelors","150,000 +","Male",2e+05
"1848","Hispanic","Northeast","Masters","100,000-149,999","Male",125000
"1849","Black","South","Secondary","75,000-99,999","Male",87500
"1850","White","West","Bachelors","30,000-39,999","Female",35000
"1851","Hispanic","Northeast","Masters","75,000-99,999","Male",87500
"1852","White","South","Masters","75,000-99,999","Female",87500
"1853","White","Northeast","Secondary","1-9,999","Male",5000
"1854","White","West","Associates","150,000 +","Male",2e+05
"1855","Black","Midwest","Secondary","30,000-39,999","Male",35000
"1856","Hispanic","West","Primary","40,000- 49,999","Male",45000
"1857","White","Midwest","Masters","75,000-99,999","Male",87500
"1858","White","Midwest","Bachelors","100,000-149,999","Male",125000
"1859","White","Midwest","Primary","60,000-74,999","Male",67500
"1860","White","Midwest","Secondary","40,000-59,999","Female",55000
"1861","White","South","Secondary","60,000-74,999","Female",67500
"1862",NA,"West",NA,NA,NA,NA
"1863","White","West","Secondary","60,000-74,999","Female",67500
"1864",NA,"West",NA,NA,NA,NA
"1865","Hispanic","Northeast","Bachelors","40,000- 49,999","Female",45000
"1866","White","South","Bachelors","100,000-149,999","Female",125000
"1867","White","South","Bachelors",NA,"Male",NA
"1868","White","Midwest","Bachelors",NA,"Male",NA
"1869","White","Midwest","Secondary","10,000-19,999","Male",10000
"1870","Black","South","Secondary",NA,"Male",NA
"1871","Asian/Pacific Islander","Northeast","Secondary","40,000-59,999","Female",55000
"1872","White","South","Secondary",NA,"Female",NA
"1873","White","West","Secondary","20,000- 29,999","Male",25000
"1874","White","Northeast","Secondary",NA,"Male",NA
"1875","Hispanic","West","Secondary","20,000- 29,999","Female",25000
"1876","Other","South","Secondary","100,000-149,999","Male",125000
"1877","Black","South","Masters","150,000 +","Male",2e+05
"1878","White","Midwest","Secondary","20,000- 29,999","Male",25000
"1879","White","South","Bachelors","150,000 +","Male",2e+05
"1880","Hispanic","South","Primary","10,000-19,999","Male",10000
"1881","White","Northeast","Secondary","100,000-149,999","Male",125000
"1882","Hispanic","Midwest","Secondary",NA,"Female",NA
"1883","Black","South","Primary","1-9,999","Female",5000
"1884","White","South","Bachelors","10,000-19,999","Female",10000
"1885","White","Northeast","Masters","60,000-74,999","Female",67500
"1886","White","Midwest","Secondary","1-9,999","Female",5000
"1887","White","Midwest","Associates","40,000- 49,999","Male",45000
"1888","White","Midwest","Bachelors","30,000-39,999","Female",35000
"1889","Black","South","Masters","1-9,999","Female",5000
"1890","White","South","Masters","100,000-149,999","Male",125000
"1891","Black","Midwest","Secondary","20,000- 29,999","Male",25000
"1892","Hispanic","West","Primary","20,000- 29,999","Female",25000
"1893","Asian/Pacific Islander","South","Masters","150,000 +","Female",2e+05
"1894","Asian/Pacific Islander","Midwest","Primary","10,000-19,999","Female",10000
"1895","White","South","Secondary","10,000-19,999","Female",10000
"1896","White","West","PhD","150,000 +","Male",2e+05
"1897","White","South","Secondary","40,000- 49,999","Female",45000
"1898","White","Midwest","Secondary","75,000-99,999","Female",87500
"1899","Black","Northeast","Masters","100,000-149,999","Female",125000
"1900",NA,"Midwest",NA,NA,NA,NA
"1901","White","Northeast","Bachelors","75,000-99,999","Male",87500
"1902","White","Northeast","Secondary","40,000-59,999","Female",55000
"1903","Asian/Pacific Islander","Midwest","Masters","150,000 +","Male",2e+05
"1904","White","Northeast","Associates","30,000-39,999","Female",35000
"1905","Black","West","Primary","60,000-74,999","Male",67500
"1906","White","Midwest","Bachelors","100,000-149,999","Male",125000
"1907","White","South","Associates","1-9,999","Female",5000
"1908","Hispanic","Northeast","Secondary","20,000- 29,999","Female",25000
"1909","Hispanic","South","Secondary","10,000-19,999","Male",10000
"1910","White","Midwest","Associates","100,000-149,999","Female",125000
"1911","White","West","Masters","40,000-59,999","Female",55000
"1912","White","South","Associates","40,000-59,999","Male",55000
"1913","White","Northeast","Secondary","30,000-39,999","Female",35000
"1914","Hispanic","South","Associates","40,000- 49,999","Female",45000
"1915","Hispanic","Northeast","Secondary","30,000-39,999","Female",35000
"1916","White","Northeast","Masters","100,000-149,999","Male",125000
"1917","White","Northeast","Secondary","100,000-149,999","Female",125000
"1918","White","West","Associates","60,000-74,999","Male",67500
"1919","Hispanic","South","Primary","10,000-19,999","Female",10000
"1920","Black","South","Primary","10,000-19,999","Male",10000
"1921","White","Midwest","Primary",NA,"Male",NA
"1922","Black","Midwest","Secondary","30,000-39,999","Male",35000
"1923","White","South","Associates","75,000-99,999","Female",87500
"1924","Black","South","Secondary","10,000-19,999","Female",10000
"1925","White","South","Associates","150,000 +","Male",2e+05
"1926","Black","South","Associates",NA,"Female",NA
"1927","White","West","Associates","60,000-74,999","Female",67500
"1928","White","Midwest","Bachelors","75,000-99,999","Male",87500
"1929","Black","West","Secondary",NA,"Male",NA
"1930","White","West","Secondary","40,000-59,999","Female",55000
"1931",NA,"Midwest",NA,NA,NA,NA
"1932","Black","South","Associates","1-9,999","Female",5000
"1933","Hispanic","Northeast","Primary","40,000-59,999","Female",55000
"1934","White","Midwest","Secondary","40,000-59,999","Female",55000
"1935","Black","South","Secondary","150,000 +","Male",2e+05
"1936","Black","South","Masters","40,000- 49,999","Female",45000
"1937","White","Northeast","Secondary","60,000-74,999","Female",67500
"1938","White","West","Bachelors","100,000-149,999","Female",125000
"1939","Other","South","Associates","60,000-74,999","Male",67500
"1940","White","South","Primary","10,000-19,999","Female",10000
"1941","White","Midwest","Masters","60,000-74,999","Female",67500
"1942",NA,"South",NA,NA,NA,NA
"1943","White","South","Associates","100,000-149,999","Male",125000
"1944","White","Midwest","Secondary","20,000- 29,999","Male",25000
"1945","White","West","Masters","100,000-149,999","Female",125000
"1946","White","South","Secondary","20,000- 29,999","Male",25000
"1947","Hispanic","South","Bachelors","100,000-149,999","Female",125000
"1948","White","West","Masters","100,000-149,999","Male",125000
"1949","Hispanic","Midwest","Associates","30,000-39,999","Male",35000
"1950","Hispanic","South","Associates","40,000- 49,999","Male",45000
"1951","White","West","Bachelors",NA,"Female",NA
"1952","White","Midwest","Associates",NA,"Female",NA
"1953","Black","South","Secondary","10,000-19,999","Female",10000
"1954","White","South","Associates","1-9,999","Female",5000
"1955","White","Midwest","Secondary","10,000-19,999","Male",10000
"1956","White","Midwest","Masters","150,000 +","Female",2e+05
"1957","Black","South","Secondary","10,000-19,999","Female",10000
"1958","Hispanic","South","Associates","20,000- 29,999","Female",25000
"1959","White","South","Associates","40,000- 49,999","Female",45000
"1960","White","South","Masters","60,000-74,999","Female",67500
"1961","White","South","Bachelors","20,000- 29,999","Male",25000
"1962","White","Midwest","Secondary","30,000-39,999","Female",35000
"1963","White","West","Masters","10,000-19,999","Male",10000
"1964","White","Midwest","Associates","20,000- 29,999","Female",25000
"1965","White","Midwest","Bachelors","150,000 +","Male",2e+05
"1966","White","South","Secondary","20,000- 29,999","Female",25000
"1967",NA,"South",NA,NA,NA,NA
"1968","White","Midwest","Secondary","10,000-19,999","Female",10000
"1969","White","West","Masters","150,000 +","Male",2e+05
"1970","Black","South","Secondary","40,000-59,999","Female",55000
"1971","Hispanic","West","Secondary",NA,"Female",NA
"1972","White","Midwest","Masters",NA,"Female",NA
"1973","White","Northeast","Secondary","60,000-74,999","Female",67500
"1974","White","South","Secondary","40,000-59,999","Male",55000
"1975",NA,"Northeast",NA,NA,NA,NA
"1976","White","South","Primary","30,000-39,999","Female",35000
"1977","Asian/Pacific Islander","Northeast","Associates","20,000- 29,999","Female",25000
"1978","White","South","Secondary","30,000-39,999","Male",35000
"1979","White","South","Associates","1-9,999","Female",5000
"1980","Black","South","Primary","1-9,999","Female",5000
"1981","White","Midwest","Masters","150,000 +","Female",2e+05
"1982","White","West","Bachelors","40,000-59,999","Male",55000
"1983","White","South","Secondary","40,000- 49,999","Female",45000
"1984","White","Northeast","Secondary","10,000-19,999","Male",10000
"1985","White","Midwest","Secondary",NA,"Male",NA
"1986","Other","Midwest","Secondary","60,000-74,999","Male",67500
"1987","Black","South","Secondary",NA,"Female",NA
"1988","Other","Northeast","Primary","20,000- 29,999","Male",25000
"1989","White","Midwest","Secondary","1-9,999","Female",5000
"1990","Black","Northeast","Secondary","40,000-59,999","Female",55000
"1991","White","Midwest","Masters","30,000-39,999","Male",35000
"1992","White","West","Masters","150,000 +","Male",2e+05
"1993","White","South","Associates","40,000- 49,999","Female",45000
"1994","White","South","Secondary","60,000-74,999","Male",67500
"1995","White","South","Associates","60,000-74,999","Male",67500
"1996",NA,"Northeast",NA,NA,NA,NA
"1997","White","South","Secondary","20,000- 29,999","Female",25000
"1998","White","Northeast","Bachelors","75,000-99,999","Female",87500
"1999",NA,"West",NA,NA,NA,NA
"2000","White","West","Bachelors","75,000-99,999","Male",87500
"2001","White","South","Bachelors","60,000-74,999","Female",67500
"2002","White","Midwest","Secondary","75,000-99,999","Female",87500
"2003","White","Midwest","Masters","100,000-149,999","Female",125000
"2004","White","Midwest","Secondary","10,000-19,999","Female",10000
"2005","Hispanic","Northeast","Secondary","10,000-19,999","Female",10000
"2006","Asian/Pacific Islander","West","Secondary","40,000- 49,999","Female",45000
"2007",NA,"Northeast",NA,NA,NA,NA
"2008","White","Midwest","Bachelors","150,000 +","Male",2e+05
"2009","White","South","Secondary","60,000-74,999","Female",67500
"2010","White","South","Primary","1-9,999","Female",5000
"2011","White","Midwest","Bachelors","100,000-149,999","Female",125000
"2012","White","South","Secondary","60,000-74,999","Female",67500
"2013","White","South","Associates","40,000-59,999","Female",55000
"2014","White","Midwest","Secondary","60,000-74,999","Male",67500
"2015","White","Midwest","Bachelors","75,000-99,999","Female",87500
"2016","Black","West","Associates","75,000-99,999","Female",87500
"2017","White","South","Bachelors","100,000-149,999","Male",125000
"2018","Other","South","Secondary","40,000-59,999","Male",55000
"2019","Black","West","Secondary","75,000-99,999","Male",87500
"2020","White","Midwest","Secondary","40,000- 49,999","Female",45000
"2021","White","South","Bachelors","40,000- 49,999","Female",45000
"2022","White","West","Masters","150,000 +","Male",2e+05
"2023","White","Midwest","Secondary","60,000-74,999","Female",67500
"2024","White","South","Associates","10,000-19,999","Male",10000
"2025","White","South","Bachelors","60,000-74,999","Male",67500
"2026","Other","South","Secondary","40,000-59,999","Male",55000
"2027",NA,"Northeast",NA,NA,NA,NA
"2028","White","Midwest","Associates","75,000-99,999","Male",87500
"2029","Asian/Pacific Islander","West","Bachelors","150,000 +","Male",2e+05
"2030","White","Midwest","Secondary","20,000- 29,999","Female",25000
"2031","Asian/Pacific Islander","Midwest","Primary","20,000- 29,999","Male",25000
"2032","White","Midwest","Associates","40,000- 49,999","Female",45000
"2033","Hispanic","West","Bachelors","75,000-99,999","Female",87500
"2034","White","Midwest","Masters","100,000-149,999","Female",125000
"2035","White","Midwest","Secondary",NA,"Female",NA
"2036","White","South","Associates","75,000-99,999","Male",87500
"2037","White","South","Masters","40,000- 49,999","Female",45000
"2038","White","South","Secondary","40,000- 49,999","Female",45000
"2039","White","Midwest","Bachelors",NA,"Male",NA
"2040","White","Midwest","Associates","10,000-19,999","Female",10000
"2041","White","Midwest","Secondary","75,000-99,999","Female",87500
"2042","White","West","Secondary","60,000-74,999","Female",67500
"2043",NA,"Midwest",NA,NA,NA,NA
"2044","White","West","Bachelors","100,000-149,999","Female",125000
"2045","White","Midwest","Secondary","100,000-149,999","Male",125000
"2046","Black","South","Secondary","75,000-99,999","Male",87500
"2047","Hispanic","West","Associates","1-9,999","Female",5000
"2048","White","South","Secondary","20,000- 29,999","Female",25000
"2049","Black","South","Bachelors","100,000-149,999","Female",125000
"2050","Hispanic","Midwest","Primary","30,000-39,999","Female",35000
"2051","White","South","Associates","60,000-74,999","Male",67500
"2052","White","South","Secondary","20,000- 29,999","Female",25000
"2053","Black","South","Secondary","10,000-19,999","Male",10000
"2054","Hispanic","West","Secondary","10,000-19,999","Female",10000
"2055","White","South","Bachelors","40,000-59,999","Male",55000
"2056","Black","South","Associates","40,000- 49,999","Female",45000
"2057","Hispanic","Northeast","Primary","1-9,999","Male",5000
"2058",NA,"South",NA,NA,NA,NA
"2059","White","Midwest","Secondary",NA,"Female",NA
"2060","White","South","Secondary","40,000-59,999","Female",55000
"2061","White","South","Secondary","30,000-39,999","Female",35000
"2062","White","South","Secondary","100,000-149,999","Female",125000
"2063","White","Midwest","Bachelors","40,000-59,999","Female",55000
"2064","Hispanic","Midwest","Secondary",NA,"Male",NA
"2065","White","South","Secondary","100,000-149,999","Female",125000
"2066","Hispanic","West","Secondary","100,000-149,999","Female",125000
"2067","White","South","Secondary","40,000-59,999","Female",55000
"2068","White","Midwest","Masters","75,000-99,999","Male",87500
"2069","White","South","Associates","60,000-74,999","Female",67500
"2070",NA,"Midwest",NA,NA,NA,NA
"2071",NA,"South",NA,NA,NA,NA
"2072","White","South","Primary","10,000-19,999","Male",10000
"2073","White","West","Associates","30,000-39,999","Female",35000
"2074",NA,"South","Associates",NA,"Female",NA
"2075","Black","Midwest","Secondary","1-9,999","Male",5000
"2076","White","Midwest","Secondary","100,000-149,999","Female",125000
"2077","Other","Midwest","Secondary","10,000-19,999","Female",10000
"2078","Black","Midwest","Primary","10,000-19,999","Male",10000
"2079","Hispanic","West","Secondary","30,000-39,999","Female",35000
"2080","Hispanic","South","Associates","100,000-149,999","Male",125000
"2081","White","Midwest","Secondary","40,000- 49,999","Female",45000
"2082","Hispanic","South","Primary","1-9,999","Male",5000
"2083",NA,"South",NA,NA,NA,NA
"2084","White","Midwest","Primary","40,000- 49,999","Female",45000
"2085","White","South","Secondary","30,000-39,999","Male",35000
"2086",NA,"West",NA,NA,NA,NA
"2087","White","Northeast","Bachelors","150,000 +","Female",2e+05
"2088","White","Midwest","Secondary","75,000-99,999","Male",87500
"2089","White","Midwest","Associates","40,000-59,999","Male",55000
"2090","Hispanic","South","Secondary","1-9,999","Female",5000
"2091","White","South","Associates","60,000-74,999","Male",67500
"2092","White","South","Secondary","60,000-74,999","Male",67500
"2093",NA,"West",NA,NA,NA,NA
"2094","White","West","Bachelors","40,000- 49,999","Female",45000
"2095","White","Midwest","Secondary","30,000-39,999","Female",35000
"2096","White","Midwest","Associates","20,000- 29,999","Male",25000
"2097","Black","Midwest","Secondary","40,000- 49,999","Female",45000
"2098","White","Midwest","Bachelors","40,000- 49,999","Male",45000
"2099","White","Midwest","Associates","75,000-99,999","Female",87500
"2100","White","West","Secondary","150,000 +","Female",2e+05
"2101",NA,"Northeast",NA,NA,NA,NA
"2102",NA,"Midwest",NA,NA,NA,NA
"2103","White","South","Associates","10,000-19,999","Male",10000
"2104","White","Midwest","Associates","40,000- 49,999","Female",45000
"2105","White","Midwest","Bachelors","100,000-149,999","Male",125000
"2106","White","South","Secondary","150,000 +","Male",2e+05
"2107","White","West","Masters","40,000- 49,999","Female",45000
"2108","Black","South","Secondary",NA,"Male",NA
"2109","Black","South","Masters","40,000- 49,999","Female",45000
"2110","White","West","Secondary","40,000-59,999","Female",55000
"2111","White","South","Secondary","75,000-99,999","Male",87500
"2112","White","Midwest","Secondary","10,000-19,999","Male",10000
"2113","Other","West","Secondary","30,000-39,999","Male",35000
"2114","White","Midwest","Bachelors","30,000-39,999","Male",35000
"2115","White","Midwest","Primary","150,000 +","Female",2e+05
"2116","White","West","Secondary","60,000-74,999","Female",67500
"2117","White","South","Masters","150,000 +","Female",2e+05
"2118","Hispanic","West","Associates","100,000-149,999","Female",125000
"2119","White","Midwest","Masters","150,000 +","Female",2e+05
"2120","White","South","Bachelors","100,000-149,999","Female",125000
"2121","White","South","Associates","10,000-19,999","Female",10000
"2122","Black","South","Associates","60,000-74,999","Female",67500
"2123",NA,"Midwest",NA,NA,NA,NA
"2124","Black","West","Bachelors","75,000-99,999","Male",87500
"2125","White","West","Secondary","30,000-39,999","Female",35000
"2126","White","Midwest","Secondary","10,000-19,999","Male",10000
"2127","White","South","Primary",NA,"Female",NA
"2128","White","Northeast","Masters","150,000 +","Male",2e+05
"2129","Black","Midwest","Secondary","100,000-149,999","Male",125000
"2130","Hispanic","South","Secondary","10,000-19,999","Female",10000
"2131","Black","South","Bachelors","150,000 +","Male",2e+05
"2132","Black","West","Secondary","30,000-39,999","Male",35000
"2133",NA,"Midwest",NA,NA,NA,NA
"2134","White","Midwest","Secondary","40,000-59,999","Female",55000
"2135","White","Midwest","Bachelors","100,000-149,999","Male",125000
"2136","White","West","Secondary","75,000-99,999","Male",87500
"2137","White","Midwest","Secondary","60,000-74,999","Male",67500
"2138","White","Northeast","Associates",NA,"Male",NA
"2139",NA,"South",NA,NA,NA,NA
"2140","Black","West","Secondary","1-9,999","Female",5000
"2141","White","Midwest","Masters","75,000-99,999","Female",87500
"2142","White","Midwest","Associates","100,000-149,999","Female",125000
"2143","White","Midwest","Secondary","100,000-149,999","Male",125000
"2144","White","West","Primary",NA,"Male",NA
"2145","White","Midwest","Secondary","100,000-149,999","Male",125000
"2146","White","South","Bachelors","40,000-59,999","Male",55000
"2147","White","Midwest","Secondary","30,000-39,999","Female",35000
"2148","White","West","Bachelors","75,000-99,999","Female",87500
"2149","Hispanic","South","Primary","1-9,999","Female",5000
"2150","Black","South","PhD","1-9,999","Female",5000
"2151","White","Northeast","Primary","10,000-19,999","Male",10000
"2152","Hispanic","South","Secondary","20,000- 29,999","Female",25000
"2153","White","Midwest","Bachelors","100,000-149,999","Male",125000
"2154","Hispanic","South","Bachelors","150,000 +","Male",2e+05
"2155","Black","Northeast","Bachelors","10,000-19,999","Male",10000
"2156","White","South","Associates","40,000- 49,999","Female",45000
"2157","White","Midwest","Bachelors","60,000-74,999","Female",67500
"2158","White","Midwest","Secondary",NA,"Female",NA
"2159","Other","Midwest","Secondary","40,000- 49,999","Male",45000
"2160","White","South","PhD","40,000-59,999","Male",55000
"2161","White","Midwest","Bachelors","75,000-99,999","Female",87500
"2162","White","Midwest","Bachelors","40,000-59,999","Female",55000
"2163","White","South","Associates","10,000-19,999","Female",10000
"2164","Black","South","Secondary","40,000- 49,999","Male",45000
"2165","Other","South","Primary","40,000- 49,999","Male",45000
"2166","White","Midwest","Bachelors","10,000-19,999","Male",10000
"2167","Hispanic","South","Associates","20,000- 29,999","Female",25000
"2168","White","Midwest","Secondary","100,000-149,999","Male",125000
"2169","White","South","Secondary","20,000- 29,999","Male",25000
"2170","Black","South","Secondary","75,000-99,999","Male",87500
"2171","White","South","Secondary",NA,"Female",NA
"2172","White","South","Associates","75,000-99,999","Male",87500
"2173","White","Midwest","Masters","100,000-149,999","Male",125000
"2174","White","West","Secondary","150,000 +","Male",2e+05
"2175","Other","South","Associates","10,000-19,999","Female",10000
"2176","White","Northeast","Bachelors","100,000-149,999","Male",125000
"2177","White","South","Secondary",NA,"Female",NA
"2178","White","West","Secondary",NA,"Male",NA
"2179","White","South","Masters",NA,"Male",NA
"2180","White","West","Secondary","40,000-59,999","Male",55000
"2181","White","South","Secondary","40,000-59,999","Male",55000
"2182","White","Midwest","Masters","100,000-149,999","Female",125000
"2183",NA,"Midwest",NA,NA,NA,NA
"2184",NA,"South",NA,NA,NA,NA
"2185","White","South","Bachelors","40,000- 49,999","Female",45000
"2186","White","Northeast","Bachelors","10,000-19,999","Female",10000
"2187","Black","West","Secondary","20,000- 29,999","Female",25000
"2188","Black","South","Secondary","1-9,999","Female",5000
"2189","Black","South","Secondary",NA,"Male",NA
"2190","White","South","Masters","75,000-99,999","Male",87500
"2191","White","South","Masters","40,000-59,999","Female",55000
"2192","White","Northeast","Bachelors","30,000-39,999","Female",35000
"2193","White","South","Secondary","100,000-149,999","Male",125000
"2194","White","West","Masters","30,000-39,999","Male",35000
"2195","Other","South","Masters","40,000- 49,999","Male",45000
"2196","White","Midwest","Bachelors","60,000-74,999","Female",67500
"2197","Black","Midwest","Primary","1-9,999","Female",5000
"2198","White","Midwest","Bachelors","100,000-149,999","Female",125000
"2199","Hispanic","South","Bachelors","75,000-99,999","Male",87500
"2200","White","Northeast","Masters","75,000-99,999","Female",87500
"2201","White","West","Secondary","75,000-99,999","Female",87500
"2202","White","Northeast","Secondary","40,000- 49,999","Female",45000
"2203","White","South","Primary","150,000 +","Male",2e+05
"2204","White","Midwest","Secondary","60,000-74,999","Female",67500
"2205","White","Northeast","Associates","40,000-59,999","Male",55000
"2206","White","West","Bachelors","100,000-149,999","Female",125000
"2207","White","South","Secondary","20,000- 29,999","Female",25000
"2208","White","Midwest","Bachelors","100,000-149,999","Female",125000
"2209","Other","West","Associates","10,000-19,999","Female",10000
"2210","Black","South","Associates","10,000-19,999","Female",10000
"2211","White","South","Secondary","100,000-149,999","Male",125000
"2212",NA,"South",NA,NA,NA,NA
"2213","White","West","Bachelors",NA,"Male",NA
"2214","White","West","Secondary","60,000-74,999","Female",67500
"2215","Black","West","Bachelors","40,000- 49,999","Male",45000
"2216",NA,"South",NA,NA,NA,NA
"2217","Black","South","Secondary",NA,"Female",NA
"2218","White","Midwest","Secondary","40,000-59,999","Male",55000
"2219","White","Midwest","Secondary","40,000-59,999","Female",55000
"2220","White","Midwest","Secondary","20,000- 29,999","Female",25000
"2221","White","Midwest","Secondary","30,000-39,999","Female",35000
"2222","White","Midwest","Bachelors","40,000-59,999","Female",55000
"2223","White","Northeast","Secondary","1-9,999","Male",5000
"2224","White","South","Bachelors","75,000-99,999","Male",87500
"2225","White","South","Bachelors",NA,"Male",NA
"2226","White","South","Primary","30,000-39,999","Male",35000
"2227","White","Midwest","Bachelors","150,000 +","Female",2e+05
"2228","Black","South","Primary","1-9,999","Female",5000
"2229","White","West","Bachelors","150,000 +","Male",2e+05
"2230","White","West","Secondary","75,000-99,999","Female",87500
"2231","White","Midwest","Secondary","40,000-59,999","Female",55000
"2232","Black","Midwest","Associates","10,000-19,999","Female",10000
"2233","White","West","Secondary",NA,"Female",NA
"2234","White","Midwest","Bachelors","150,000 +","Male",2e+05
"2235","White","South","Bachelors","150,000 +","Female",2e+05
"2236","Black","Midwest","Secondary","20,000- 29,999","Female",25000
"2237","Black","Northeast","Associates","10,000-19,999","Female",10000
"2238",NA,"West",NA,NA,NA,NA
"2239","Hispanic","South","Secondary",NA,"Male",NA
"2240","White","South","Associates","40,000-59,999","Female",55000
"2241","White","West","PhD","150,000 +","Male",2e+05
"2242",NA,"Midwest",NA,NA,NA,NA
"2243","White","Midwest","Bachelors",NA,"Male",NA
"2244","Hispanic","Midwest","Primary","60,000-74,999","Male",67500
"2245","Asian/Pacific Islander","West","Bachelors",NA,"Female",NA
"2246","Black","Midwest","Secondary","30,000-39,999","Male",35000
"2247","White","West","Bachelors","100,000-149,999","Male",125000
"2248","White","Midwest","Secondary","40,000-59,999","Male",55000
"2249","White","Midwest","Associates","40,000-59,999","Female",55000
"2250","White","West","Secondary","100,000-149,999","Male",125000
"2251","Hispanic","Midwest","Secondary","75,000-99,999","Male",87500
"2252","White","West","Secondary","40,000- 49,999","Female",45000
